className_funcName,doc
WebSocketUsers_sendMessageToUserByText,"/**
     * 发送文本消息
     *
     * @param session 自己的用户名
     * @param message 消息内容
     */"
SemaphoreUtils_tryAcquire,"/**
     * 获取信号量
     * 
     * @param semaphore
     * @return
     */"
SemaphoreUtils_release,"/**
     * 释放信号量
     * 
     * @param semaphore
     */"
AsyncManager_execute,"/**
     * 执行任务
     * 
     * @param task 任务
     */"
AsyncManager_shutdown,"/**
     * 停止任务线程池
     */"
ShutdownManager_shutdownAsyncManager,"/**
     * 停止异步执行任务
     */"
AsyncFactory_recordLogininfor,"/**
     * 记录登录信息
     * 
     * @param username 用户名
     * @param status 状态
     * @param message 消息
     * @param args 列表
     * @return 任务task
     */"
AsyncFactory_recordOper,"/**
     * 操作日志记录
     * 
     * @param operLog 操作日志信息
     * @return 任务task
     */"
LogoutSuccessHandlerImpl_onLogoutSuccess,"/**
     * 退出处理
     * 
     * @return
     */"
LogAspect_doAfterReturning,"/**
     * 处理完请求后执行
     *
     * @param joinPoint 切点
     */"
LogAspect_doAfterThrowing,"/**
     * 拦截异常操作
     * 
     * @param joinPoint 切点
     * @param e 异常
     */"
LogAspect_getControllerMethodDescription,"/**
     * 获取注解中对方法的描述信息 用于Controller层注解
     * 
     * @param log 日志
     * @param operLog 操作日志
     * @throws Exception
     */"
LogAspect_setRequestValue,"/**
     * 获取请求的参数，放到log中
     * 
     * @param operLog 操作日志
     * @throws Exception 异常
     */"
LogAspect_argsArrayToString,"/**
     * 参数拼装
     */"
LogAspect_isFilterObject,"/**
     * 判断是否需要过滤的对象。
     * 
     * @param o 对象信息。
     * @return 如果是需要过滤的对象，则返回true；否则返回false。
     */"
DataSourceAspect_getDataSource,"/**
     * 获取需要切换的数据源
     */"
DataScopeAspect_dataScopeFilter,"/**
     * 数据范围过滤
     *
     * @param joinPoint 切点
     * @param user 用户
     * @param userAlias 别名
     */"
DataScopeAspect_clearDataScope,"/**
     * 拼接权限sql前先清空params.dataScope参数防止注入
     */"
SysPermissionService_getRolePermission,"/**
     * 获取角色数据权限
     * 
     * @param user 用户信息
     * @return 角色权限信息
     */"
SysPermissionService_getMenuPermission,"/**
     * 获取菜单数据权限
     * 
     * @param user 用户信息
     * @return 菜单权限信息
     */"
TokenService_getLoginUser,"/**
     * 获取用户身份信息
     *
     * @return 用户信息
     */"
TokenService_setLoginUser,"/**
     * 设置用户身份信息
     */"
TokenService_delLoginUser,"/**
     * 删除用户身份信息
     */"
TokenService_createToken,"/**
     * 从数据声明生成令牌
     *
     * @param claims 数据声明
     * @return 令牌
     */"
TokenService_verifyToken,"/**
     * 验证令牌有效期，相差不足20分钟，自动刷新缓存
     *
     * @param loginUser
     * @return 令牌
     */"
TokenService_refreshToken,"/**
     * 刷新令牌有效期
     *
     * @param loginUser 登录信息
     */"
TokenService_setUserAgent,"/**
     * 设置用户代理信息
     *
     * @param loginUser 登录信息
     */"
TokenService_parseToken,"/**
     * 从令牌中获取数据声明
     *
     * @param token 令牌
     * @return 数据声明
     */"
TokenService_getUsernameFromToken,"/**
     * 从令牌中获取用户名
     *
     * @param token 令牌
     * @return 用户名
     */"
TokenService_getToken,"/**
     * 获取请求token
     *
     * @param request
     * @return token
     */"
TokenService_getUserByToken,"/**
     * 根据Token获取对应的用户
     * @param token
     * @return
     */"
PermissionService_hasPermi,"/**
     * 验证用户是否具备某权限
     * 
     * @param permission 权限字符串
     * @return 用户是否具备某权限
     */"
PermissionService_lacksPermi,"/**
     * 验证用户是否不具备某权限，与 hasPermi逻辑相反
     *
     * @param permission 权限字符串
     * @return 用户是否不具备某权限
     */"
PermissionService_hasAnyPermi,"/**
     * 验证用户是否具有以下任意一个权限
     *
     * @param permissions 以 PERMISSION_NAMES_DELIMETER 为分隔符的权限列表
     * @return 用户是否具有以下任意一个权限
     */"
PermissionService_hasRole,"/**
     * 判断用户是否拥有某个角色
     * 
     * @param role 角色字符串
     * @return 用户是否具备某角色
     */"
PermissionService_lacksRole,"/**
     * 验证用户是否不具备某角色，与 isRole逻辑相反。
     *
     * @param role 角色名称
     * @return 用户是否不具备某角色
     */"
PermissionService_hasAnyRoles,"/**
     * 验证用户是否具有以下任意一个角色
     *
     * @param roles 以 ROLE_NAMES_DELIMETER 为分隔符的角色列表
     * @return 用户是否具有以下任意一个角色
     */"
PermissionService_hasPermissions,"/**
     * 判断是否包含权限
     * 
     * @param permissions 权限列表
     * @param permission 权限字符串
     * @return 用户是否具备某权限
     */"
MobileLoginService_sendCode,"/**
     * 发送注册验证码
     * @param loginParams
     * @return
     */"
MobileLoginService_registerUser,"/**
     * 手机号验证码注册用户
     * @param loginParams
     * @return
     */"
MobileLoginService_setUserDefaultInfo,"/**
     * 设置注册用户角色部门岗位信息
     * @param registerUser
     * @return
     */"
SysLoginService_login,"/**
     * 登录验证
     * 
     * @param username 用户名
     * @param password 密码
     * @param code 验证码
     * @param uuid 唯一标识
     * @return 结果
     */"
SysLoginService_validateCaptcha,"/**
     * 校验验证码
     * 
     * @param username 用户名
     * @param code 验证码
     * @param uuid 唯一标识
     * @return 结果
     */"
SysLoginService_recordLoginInfo,"/**
     * 记录登录信息
     *
     * @param userId 用户ID
     */"
SysRegisterService_register,"/**
     * 注册
     */"
SysRegisterService_validateCaptcha,"/**
     * 校验验证码
     * 
     * @param username 用户名
     * @param code 验证码
     * @param uuid 唯一标识
     * @return 结果
     */"
GlobalExceptionHandler_handleAccessDeniedException,"/**
     * 权限校验异常
     */"
GlobalExceptionHandler_handleHttpRequestMethodNotSupported,"/**
     * 请求方式不支持
     */"
GlobalExceptionHandler_handleServiceException,"/**
     * 业务异常
     */"
GlobalExceptionHandler_handleRuntimeException,"/**
     * 拦截未知的运行时异常
     */"
GlobalExceptionHandler_handleException,"/**
     * 系统异常
     */"
GlobalExceptionHandler_handleBindException,"/**
     * 自定义验证异常
     */"
GlobalExceptionHandler_handleMethodArgumentNotValidException,"/**
     * 自定义验证异常
     */"
GlobalExceptionHandler_handleDemoModeException,"/**
     * 演示模式异常
     */"
Server_setCpuInfo,"/**
     * 设置CPU信息
     */"
Server_setMemInfo,"/**
     * 设置内存信息
     */"
Server_setSysInfo,"/**
     * 设置服务器信息
     */"
Server_setJvmInfo,"/**
     * 设置Java虚拟机
     */"
Server_setSysFiles,"/**
     * 设置磁盘信息
     */"
Server_convertFileSize,"/**
     * 字节转换
     * 
     * @param size 字节大小
     * @return 转换后值
     */"
Jvm_getName,"/**
     * 获取JDK名称
     */"
Jvm_getStartTime,"/**
     * JDK启动时间
     */"
Jvm_getRunTime,"/**
     * JDK运行时间
     */"
Jvm_getInputArgs,"/**
     * 运行参数
     */"
SysJobLogServiceImpl_selectJobLogList,"/**
     * 获取quartz调度器日志的计划任务
     * 
     * @param jobLog 调度日志信息
     * @return 调度任务日志集合
     */"
SysJobLogServiceImpl_selectJobLogById,"/**
     * 通过调度任务日志ID查询调度信息
     * 
     * @param jobLogId 调度任务日志ID
     * @return 调度任务日志对象信息
     */"
SysJobLogServiceImpl_addJobLog,"/**
     * 新增任务日志
     * 
     * @param jobLog 调度日志信息
     */"
SysJobLogServiceImpl_deleteJobLogByIds,"/**
     * 批量删除调度日志信息
     * 
     * @param logIds 需要删除的数据ID
     * @return 结果
     */"
SysJobLogServiceImpl_deleteJobLogById,"/**
     * 删除任务日志
     * 
     * @param jobId 调度日志ID
     */"
SysJobLogServiceImpl_cleanJobLog,"/**
     * 清空任务日志
     */"
SysJobServiceImpl_init,"/**
     * 项目启动时，初始化定时器 主要是防止手动修改数据库导致未同步到定时任务处理（注：不能手动修改数据库ID和任务组名，否则会导致脏数据）
     */"
SysJobServiceImpl_selectJobList,"/**
     * 获取quartz调度器的计划任务列表
     * 
     * @param job 调度信息
     * @return
     */"
SysJobServiceImpl_selectJobById,"/**
     * 通过调度任务ID查询调度信息
     * 
     * @param jobId 调度任务ID
     * @return 调度任务对象信息
     */"
SysJobServiceImpl_pauseJob,"/**
     * 暂停任务
     * 
     * @param job 调度信息
     */"
SysJobServiceImpl_resumeJob,"/**
     * 恢复任务
     * 
     * @param job 调度信息
     */"
SysJobServiceImpl_deleteJob,"/**
     * 删除任务后，所对应的trigger也将被删除
     * 
     * @param job 调度信息
     */"
SysJobServiceImpl_deleteJobByIds,"/**
     * 批量删除调度信息
     * 
     * @param jobIds 需要删除的任务ID
     * @return 结果
     */"
SysJobServiceImpl_changeStatus,"/**
     * 任务调度状态修改
     * 
     * @param job 调度信息
     */"
SysJobServiceImpl_run,"/**
     * 立即运行任务
     * 
     * @param job 调度信息
     */"
SysJobServiceImpl_insertJob,"/**
     * 新增任务
     * 
     * @param job 调度信息 调度信息
     */"
SysJobServiceImpl_updateJob,"/**
     * 更新任务的时间表达式
     * 
     * @param job 调度信息
     */"
SysJobServiceImpl_updateSchedulerJob,"/**
     * 更新任务
     * 
     * @param job 任务对象
     * @param jobGroup 任务组名
     */"
SysJobServiceImpl_checkCronExpressionIsValid,"/**
     * 校验cron表达式是否有效
     * 
     * @param cronExpression 表达式
     * @return 结果
     */"
SysJobLogController_list,"/**
     * 查询定时任务调度日志列表
     */"
SysJobLogController_export,"/**
     * 导出定时任务调度日志列表
     */"
SysJobLogController_getInfo,"/**
     * 根据调度编号获取详细信息
     */"
SysJobLogController_remove,"/**
     * 删除定时任务调度日志
     */"
SysJobLogController_clean,"/**
     * 清空定时任务调度日志
     */"
SysJobController_list,"/**
     * 查询定时任务列表
     */"
SysJobController_export,"/**
     * 导出定时任务列表
     */"
SysJobController_getInfo,"/**
     * 获取定时任务详细信息
     */"
SysJobController_add,"/**
     * 新增定时任务
     */"
SysJobController_edit,"/**
     * 修改定时任务
     */"
SysJobController_changeStatus,"/**
     * 定时任务状态修改
     */"
SysJobController_run,"/**
     * 定时任务立即执行一次
     */"
SysJobController_remove,"/**
     * 删除定时任务
     */"
ScheduleUtils_getQuartzJobClass,"/**
     * 得到quartz任务类
     *
     * @param sysJob 执行计划
     * @return 具体执行任务类
     */"
ScheduleUtils_getTriggerKey,"/**
     * 构建任务触发对象
     */"
ScheduleUtils_getJobKey,"/**
     * 构建任务键对象
     */"
ScheduleUtils_createScheduleJob,"/**
     * 创建定时任务
     */"
ScheduleUtils_handleCronScheduleMisfirePolicy,"/**
     * 设置定时任务策略
     */"
ScheduleUtils_whiteList,"/**
     * 检查包名是否为白名单配置
     * 
     * @param invokeTarget 目标字符串
     * @return 结果
     */"
JobInvokeUtil_invokeMethod,"/**
     * 调用任务方法
     *
     * @param bean 目标对象
     * @param methodName 方法名称
     * @param methodParams 方法参数
     */"
JobInvokeUtil_isValidClassName,"/**
     * 校验是否为为class包名
     * 
     * @param invokeTarget 名称
     * @return true是 false否
     */"
JobInvokeUtil_getBeanName,"/**
     * 获取bean名称
     * 
     * @param invokeTarget 目标字符串
     * @return bean名称
     */"
JobInvokeUtil_getMethodName,"/**
     * 获取bean方法
     * 
     * @param invokeTarget 目标字符串
     * @return method方法
     */"
JobInvokeUtil_getMethodParams,"/**
     * 获取method方法参数相关列表
     * 
     * @param invokeTarget 目标字符串
     * @return method方法相关参数列表
     */"
JobInvokeUtil_getMethodParamsType,"/**
     * 获取参数类型
     * 
     * @param methodParams 参数相关列表
     * @return 参数类型列表
     */"
JobInvokeUtil_getMethodParamsValue,"/**
     * 获取参数值
     * 
     * @param methodParams 参数相关列表
     * @return 参数值列表
     */"
AbstractQuartzJob_before,"/**
     * 执行前
     *
     * @param context 工作执行上下文对象
     * @param sysJob 系统计划任务
     */"
AbstractQuartzJob_after,"/**
     * 执行后
     *
     * @param context 工作执行上下文对象
     * @param sysJob 系统计划任务
     */"
AbstractQuartzJob_doExecute,"/**
     * 执行方法，由子类重载
     *
     * @param context 工作执行上下文对象
     * @param sysJob 系统计划任务
     * @throws Exception 执行过程中的异常
     */"
CronUtils_isValid,"/**
     * 返回一个布尔值代表一个给定的Cron表达式的有效性
     *
     * @param cronExpression Cron表达式
     * @return boolean 表达式是否有效
     */"
CronUtils_getInvalidMessage,"/**
     * 返回一个字符串值,表示该消息无效Cron表达式给出有效性
     *
     * @param cronExpression Cron表达式
     * @return String 无效时返回表达式错误描述,如果有效返回null
     */"
CronUtils_getNextExecution,"/**
     * 返回下一个执行时间根据给定的Cron表达式
     *
     * @param cronExpression Cron表达式
     * @return Date 下次Cron表达式执行时间
     */"
SysOperLogServiceImpl_insertOperlog,"/**
     * 新增操作日志
     * 
     * @param operLog 操作日志对象
     */"
SysOperLogServiceImpl_selectOperLogList,"/**
     * 查询系统操作日志集合
     * 
     * @param operLog 操作日志对象
     * @return 操作日志集合
     */"
SysOperLogServiceImpl_deleteOperLogByIds,"/**
     * 批量删除系统操作日志
     * 
     * @param operIds 需要删除的操作日志ID
     * @return 结果
     */"
SysOperLogServiceImpl_selectOperLogById,"/**
     * 查询操作日志详细
     * 
     * @param operId 操作ID
     * @return 操作日志对象
     */"
SysOperLogServiceImpl_cleanOperLog,"/**
     * 清空操作日志
     */"
SysLogininforServiceImpl_insertLogininfor,"/**
     * 新增系统登录日志
     * 
     * @param logininfor 访问日志对象
     */"
SysLogininforServiceImpl_selectLogininforList,"/**
     * 查询系统登录日志集合
     * 
     * @param logininfor 访问日志对象
     * @return 登录记录集合
     */"
SysLogininforServiceImpl_deleteLogininforByIds,"/**
     * 批量删除系统登录日志
     * 
     * @param infoIds 需要删除的登录日志ID
     * @return 结果
     */"
SysLogininforServiceImpl_cleanLogininfor,"/**
     * 清空系统登录日志
     */"
SysDeptServiceImpl_selectDeptList,"/**
     * 查询部门管理数据
     * 
     * @param dept 部门信息
     * @return 部门信息集合
     */"
SysDeptServiceImpl_buildDeptTree,"/**
     * 构建前端所需要树结构
     * 
     * @param depts 部门列表
     * @return 树结构列表
     */"
SysDeptServiceImpl_buildDeptTreeSelect,"/**
     * 构建前端所需要下拉树结构
     * 
     * @param depts 部门列表
     * @return 下拉树结构列表
     */"
SysDeptServiceImpl_selectDeptListByRoleId,"/**
     * 根据角色ID查询部门树信息
     * 
     * @param roleId 角色ID
     * @return 选中部门列表
     */"
SysDeptServiceImpl_selectDeptById,"/**
     * 根据部门ID查询信息
     * 
     * @param deptId 部门ID
     * @return 部门信息
     */"
SysDeptServiceImpl_selectNormalChildrenDeptById,"/**
     * 根据ID查询所有子部门（正常状态）
     * 
     * @param deptId 部门ID
     * @return 子部门数
     */"
SysDeptServiceImpl_hasChildByDeptId,"/**
     * 是否存在子节点
     * 
     * @param deptId 部门ID
     * @return 结果
     */"
SysDeptServiceImpl_checkDeptExistUser,"/**
     * 查询部门是否存在用户
     * 
     * @param deptId 部门ID
     * @return 结果 true 存在 false 不存在
     */"
SysDeptServiceImpl_checkDeptNameUnique,"/**
     * 校验部门名称是否唯一
     * 
     * @param dept 部门信息
     * @return 结果
     */"
SysDeptServiceImpl_checkDeptDataScope,"/**
     * 校验部门是否有数据权限
     * 
     * @param deptId 部门id
     */"
SysDeptServiceImpl_insertDept,"/**
     * 新增保存部门信息
     * 
     * @param dept 部门信息
     * @return 结果
     */"
SysDeptServiceImpl_updateDept,"/**
     * 修改保存部门信息
     * 
     * @param dept 部门信息
     * @return 结果
     */"
SysDeptServiceImpl_updateParentDeptStatusNormal,"/**
     * 修改该部门的父级部门状态
     * 
     * @param dept 当前部门
     */"
SysDeptServiceImpl_updateDeptChildren,"/**
     * 修改子元素关系
     * 
     * @param deptId 被修改的部门ID
     * @param newAncestors 新的父ID集合
     * @param oldAncestors 旧的父ID集合
     */"
SysDeptServiceImpl_deleteDeptById,"/**
     * 删除部门管理信息
     * 
     * @param deptId 部门ID
     * @return 结果
     */"
SysDeptServiceImpl_recursionFn,"/**
     * 递归列表
     */"
SysDeptServiceImpl_getChildList,"/**
     * 得到子节点列表
     */"
SysDeptServiceImpl_hasChild,"/**
     * 判断是否有子节点
     */"
SysRoleServiceImpl_selectRoleList,"/**
     * 根据条件分页查询角色数据
     * 
     * @param role 角色信息
     * @return 角色数据集合信息
     */"
SysRoleServiceImpl_selectRolesByUserId,"/**
     * 根据用户ID查询角色
     * 
     * @param userId 用户ID
     * @return 角色列表
     */"
SysRoleServiceImpl_selectRolePermissionByUserId,"/**
     * 根据用户ID查询权限
     * 
     * @param userId 用户ID
     * @return 权限列表
     */"
SysRoleServiceImpl_selectRoleAll,"/**
     * 查询所有角色
     * 
     * @return 角色列表
     */"
SysRoleServiceImpl_selectRoleListByUserId,"/**
     * 根据用户ID获取角色选择框列表
     * 
     * @param userId 用户ID
     * @return 选中角色ID列表
     */"
SysRoleServiceImpl_selectRoleById,"/**
     * 通过角色ID查询角色
     * 
     * @param roleId 角色ID
     * @return 角色对象信息
     */"
SysRoleServiceImpl_checkRoleNameUnique,"/**
     * 校验角色名称是否唯一
     * 
     * @param role 角色信息
     * @return 结果
     */"
SysRoleServiceImpl_checkRoleKeyUnique,"/**
     * 校验角色权限是否唯一
     * 
     * @param role 角色信息
     * @return 结果
     */"
SysRoleServiceImpl_checkRoleAllowed,"/**
     * 校验角色是否允许操作
     * 
     * @param role 角色信息
     */"
SysRoleServiceImpl_checkRoleDataScope,"/**
     * 校验角色是否有数据权限
     * 
     * @param roleId 角色id
     */"
SysRoleServiceImpl_countUserRoleByRoleId,"/**
     * 通过角色ID查询角色使用数量
     * 
     * @param roleId 角色ID
     * @return 结果
     */"
SysRoleServiceImpl_insertRole,"/**
     * 新增保存角色信息
     * 
     * @param role 角色信息
     * @return 结果
     */"
SysRoleServiceImpl_updateRole,"/**
     * 修改保存角色信息
     * 
     * @param role 角色信息
     * @return 结果
     */"
SysRoleServiceImpl_updateRoleStatus,"/**
     * 修改角色状态
     * 
     * @param role 角色信息
     * @return 结果
     */"
SysRoleServiceImpl_authDataScope,"/**
     * 修改数据权限信息
     * 
     * @param role 角色信息
     * @return 结果
     */"
SysRoleServiceImpl_insertRoleMenu,"/**
     * 新增角色菜单信息
     * 
     * @param role 角色对象
     */"
SysRoleServiceImpl_insertRoleDept,"/**
     * 新增角色部门信息(数据权限)
     *
     * @param role 角色对象
     */"
SysRoleServiceImpl_deleteRoleById,"/**
     * 通过角色ID删除角色
     * 
     * @param roleId 角色ID
     * @return 结果
     */"
SysRoleServiceImpl_deleteRoleByIds,"/**
     * 批量删除角色信息
     * 
     * @param roleIds 需要删除的角色ID
     * @return 结果
     */"
SysRoleServiceImpl_deleteAuthUser,"/**
     * 取消授权用户角色
     * 
     * @param userRole 用户和角色关联信息
     * @return 结果
     */"
SysRoleServiceImpl_deleteAuthUsers,"/**
     * 批量取消授权用户角色
     * 
     * @param roleId 角色ID
     * @param userIds 需要取消授权的用户数据ID
     * @return 结果
     */"
SysRoleServiceImpl_insertAuthUsers,"/**
     * 批量选择授权用户角色
     * 
     * @param roleId 角色ID
     * @param userIds 需要授权的用户数据ID
     * @return 结果
     */"
SysConfigServiceImpl_init,"/**
     * 项目启动时，初始化参数到缓存
     */"
SysConfigServiceImpl_selectConfigById,"/**
     * 查询参数配置信息
     * 
     * @param configId 参数配置ID
     * @return 参数配置信息
     */"
SysConfigServiceImpl_selectConfigByKey,"/**
     * 根据键名查询参数配置信息
     * 
     * @param configKey 参数key
     * @return 参数键值
     */"
SysConfigServiceImpl_selectCaptchaOnOff,"/**
     * 获取验证码开关
     * 
     * @return true开启，false关闭
     */"
SysConfigServiceImpl_selectConfigList,"/**
     * 查询参数配置列表
     * 
     * @param config 参数配置信息
     * @return 参数配置集合
     */"
SysConfigServiceImpl_insertConfig,"/**
     * 新增参数配置
     * 
     * @param config 参数配置信息
     * @return 结果
     */"
SysConfigServiceImpl_updateConfig,"/**
     * 修改参数配置
     * 
     * @param config 参数配置信息
     * @return 结果
     */"
SysConfigServiceImpl_deleteConfigByIds,"/**
     * 批量删除参数信息
     * 
     * @param configIds 需要删除的参数ID
     */"
SysConfigServiceImpl_loadingConfigCache,"/**
     * 加载参数缓存数据
     */"
SysConfigServiceImpl_clearConfigCache,"/**
     * 清空参数缓存数据
     */"
SysConfigServiceImpl_resetConfigCache,"/**
     * 重置参数缓存数据
     */"
SysConfigServiceImpl_checkConfigKeyUnique,"/**
     * 校验参数键名是否唯一
     * 
     * @param config 参数配置信息
     * @return 结果
     */"
SysConfigServiceImpl_getCacheKey,"/**
     * 设置cache key
     * 
     * @param configKey 参数键
     * @return 缓存键key
     */"
SysMessageServiceImpl_selectSysMessageByMessageId,"/**
     * 查询消息
     * 
     * @param messageId 消息主键
     * @return 消息
     */"
SysMessageServiceImpl_selectSysMessageList,"/**
     * 查询消息列表
     * 
     * @param sysMessage 消息
     * @return 消息
     */"
SysMessageServiceImpl_insertSysMessage,"/**
     * 新增消息
     * 
     * @param sysMessage 消息
     * @return 结果
     */"
SysMessageServiceImpl_updateSysMessage,"/**
     * 修改消息
     * 
     * @param sysMessage 消息
     * @return 结果
     */"
SysMessageServiceImpl_deleteSysMessageByMessageIds,"/**
     * 批量删除消息
     * 
     * @param messageIds 需要删除的消息主键
     * @return 结果
     */"
SysMessageServiceImpl_deleteSysMessageByMessageId,"/**
     * 删除消息信息
     * 
     * @param messageId 消息主键
     * @return 结果
     */"
SysMenuServiceImpl_selectMenuList,"/**
     * 查询系统菜单列表
     * 
     * @param menu 菜单信息
     * @return 菜单列表
     */"
SysMenuServiceImpl_selectMenuPermsByUserId,"/**
     * 根据用户ID查询权限
     * 
     * @param userId 用户ID
     * @return 权限列表
     */"
SysMenuServiceImpl_selectMenuTreeByUserId,"/**
     * 根据用户ID查询菜单
     * 
     * @param userId 用户名称
     * @return 菜单列表
     */"
SysMenuServiceImpl_selectMenuListByRoleId,"/**
     * 根据角色ID查询菜单树信息
     * 
     * @param roleId 角色ID
     * @return 选中菜单列表
     */"
SysMenuServiceImpl_buildMenus,"/**
     * 构建前端路由所需要的菜单
     * 
     * @param menus 菜单列表
     * @return 路由列表
     */"
SysMenuServiceImpl_buildMenuTree,"/**
     * 构建前端所需要树结构
     * 
     * @param menus 菜单列表
     * @return 树结构列表
     */"
SysMenuServiceImpl_buildMenuTreeSelect,"/**
     * 构建前端所需要下拉树结构
     * 
     * @param menus 菜单列表
     * @return 下拉树结构列表
     */"
SysMenuServiceImpl_selectMenuById,"/**
     * 根据菜单ID查询信息
     * 
     * @param menuId 菜单ID
     * @return 菜单信息
     */"
SysMenuServiceImpl_hasChildByMenuId,"/**
     * 是否存在菜单子节点
     * 
     * @param menuId 菜单ID
     * @return 结果
     */"
SysMenuServiceImpl_checkMenuExistRole,"/**
     * 查询菜单使用数量
     * 
     * @param menuId 菜单ID
     * @return 结果
     */"
SysMenuServiceImpl_insertMenu,"/**
     * 新增保存菜单信息
     * 
     * @param menu 菜单信息
     * @return 结果
     */"
SysMenuServiceImpl_updateMenu,"/**
     * 修改保存菜单信息
     * 
     * @param menu 菜单信息
     * @return 结果
     */"
SysMenuServiceImpl_deleteMenuById,"/**
     * 删除菜单管理信息
     * 
     * @param menuId 菜单ID
     * @return 结果
     */"
SysMenuServiceImpl_checkMenuNameUnique,"/**
     * 校验菜单名称是否唯一
     * 
     * @param menu 菜单信息
     * @return 结果
     */"
SysMenuServiceImpl_getRouteName,"/**
     * 获取路由名称
     * 
     * @param menu 菜单信息
     * @return 路由名称
     */"
SysMenuServiceImpl_getRouterPath,"/**
     * 获取路由地址
     * 
     * @param menu 菜单信息
     * @return 路由地址
     */"
SysMenuServiceImpl_getComponent,"/**
     * 获取组件信息
     * 
     * @param menu 菜单信息
     * @return 组件信息
     */"
SysMenuServiceImpl_isMenuFrame,"/**
     * 是否为菜单内部跳转
     * 
     * @param menu 菜单信息
     * @return 结果
     */"
SysMenuServiceImpl_isInnerLink,"/**
     * 是否为内链组件
     * 
     * @param menu 菜单信息
     * @return 结果
     */"
SysMenuServiceImpl_isParentView,"/**
     * 是否为parent_view组件
     * 
     * @param menu 菜单信息
     * @return 结果
     */"
SysMenuServiceImpl_getChildPerms,"/**
     * 根据父节点的ID获取所有子节点
     * 
     * @param list 分类表
     * @param parentId 传入的父节点ID
     * @return String
     */"
SysMenuServiceImpl_recursionFn,"/**
     * 递归列表
     * 
     * @param list
     * @param t
     */"
SysMenuServiceImpl_getChildList,"/**
     * 得到子节点列表
     */"
SysMenuServiceImpl_hasChild,"/**
     * 判断是否有子节点
     */"
SysMenuServiceImpl_innerLinkReplaceEach,"/**
     * 内链域名特殊字符替换
     * 
     * @return
     */"
SysDictDataServiceImpl_selectDictDataList,"/**
     * 根据条件分页查询字典数据
     * 
     * @param dictData 字典数据信息
     * @return 字典数据集合信息
     */"
SysDictDataServiceImpl_selectDictLabel,"/**
     * 根据字典类型和字典键值查询字典数据信息
     * 
     * @param dictType 字典类型
     * @param dictValue 字典键值
     * @return 字典标签
     */"
SysDictDataServiceImpl_selectDictDataById,"/**
     * 根据字典数据ID查询信息
     * 
     * @param dictCode 字典数据ID
     * @return 字典数据
     */"
SysDictDataServiceImpl_deleteDictDataByIds,"/**
     * 批量删除字典数据信息
     * 
     * @param dictCodes 需要删除的字典数据ID
     */"
SysDictDataServiceImpl_insertDictData,"/**
     * 新增保存字典数据信息
     * 
     * @param data 字典数据信息
     * @return 结果
     */"
SysDictDataServiceImpl_updateDictData,"/**
     * 修改保存字典数据信息
     * 
     * @param data 字典数据信息
     * @return 结果
     */"
SysNoticeServiceImpl_selectNoticeById,"/**
     * 查询公告信息
     * 
     * @param noticeId 公告ID
     * @return 公告信息
     */"
SysNoticeServiceImpl_selectNoticeList,"/**
     * 查询公告列表
     * 
     * @param notice 公告信息
     * @return 公告集合
     */"
