index,className_funcName,doc
105,Module_enable,"/**
     * Callback invoke when plugin change its state to {@link PluginState#ENABLED}.
     */"
106,Module_disable,"/**
     * Callback invoke when plugin change its state from {@link PluginState#ENABLED}.
     */"
107,Module_disableOnStartup,"/**
     * Callback invoke once on application startup, if plugin isn't or won't be enabled - neither {@link PluginState#ENABLED} nor
     * {@link PluginState#ENABLING}.
     */"
108,Module_multiTenantEnableOnStartup,"/**
     * Version of {@link Module#enableOnStartup()} for multi-tenant environments. Will be invoke for every tenant once. If there
     * is no tenant it won't be invoke.
     */"
109,Module_multiTenantEnable,"/**
     * Version of {@link Module#enable()} for multi-tenant environments. Will be invoke for every tenant once. If there is no
     * tenant it won't be invoke.
     */"
110,Module_multiTenantDisable,"/**
     * Version of {@link Module#disable()} for multi-tenant environments. Will be invoke for every tenant once. If there is no
     * tenant it won't be invoke.
     */"
111,Module_multiTenantDisableOnStartup,"/**
     * Version of {@link Module#disableOnStartup()} for multi-tenant environments. Will be invoke for every tenant once. If there
     * is no tenant it won't be invoke.
     */"
112,PluginDependencyInformation_getIdentifier,"/**
     * Returns required plugin's identifier.
     * 
     * @return required plugin's identifier
     */"
113,PluginDependencyInformation_getVersionOfDependency,"/**
     * Returns required plugin's version
     * 
     * @return required plugin's version
     */"
114,PluginDependencyInformation_contains,"/**
     * Returns true if the required plugin's version contains the given one.
     * 
     * @param version
     *            version
     * @return true if the required plugin's version contains the given one
     */"
115,PluginDependencyInformation_toString,"/**
     * {@inheritDoc}
     */"
116,PluginDependencyInformation_hashCode,"/**
     * {@inheritDoc}
     */"
117,PluginDependencyInformation_equals,"/**
     * {@inheritDoc}
     */"
118,PluginUtilsService_isEnabled,"/**
     * Returns true if plugin is enabled.
     * 
     * @param pluginIdentifier
     *            plugin's identifier
     * @return true if enabled
     * @see PluginStateResolver#isEnabled(String)
     */"
119,PluginUtilsService_isEnabledOrEnabling,"/**
     * Returns true if plugin is enabled or enabling.
     * 
     * @deprecated for internal use only
     * 
     * @param pluginIdentifier
     *            plugin's identifier
     * @return true if enabled or enabling
     * @see PluginStateResolver#isEnabledOrEnabling(Plugin)
     */"
120,PluginDependencyResultImpl_dependenciesToEnable,"/**
     * Creates holder with plugins to enable.
     * 
     * @param dependenciesToEnable
     *            plugins to enable
     * @return holder
     */"
121,PluginDependencyResultImpl_satisfiedDependencies,"/**
     * Creates holder with all plugins satisfied.
     * 
     * @return holder
     */"
122,PluginDependencyResultImpl_unsatisfiedDependencies,"/**
     * Creates holder with missing plugins.
     * 
     * @param unsatisfiedDependencies
     *            missing plugins
     * @return holder
     */"
123,PluginDependencyResultImpl_dependenciesToDisable,"/**
     * Creates holder with plugins to disable.
     * 
     * @param dependenciesToDisable
     *            plugins to disable
     * @return holder
     */"
124,PluginDependencyResultImpl_dependenciesToUninstall,"/**
     * Creates holder with plugins to uninstall.
     * 
     * @param dependenciesToUninstall
     *            plugins to uninstall
     * @return holder
     */"
125,PluginDependencyResultImpl_dependenciesToUpdate,"/**
     * Creates holder with plugins to disable, after update.
     * 
     * @param dependenciesToDisable
     *            plugins to disable
     * @param dependenciesToDisableUnsatisfiedAfterUpdate
     *            plugins which will not be able to enable after updating
     * @return holder
     */"
126,PluginDependencyResultImpl_cyclicDependencies,"/**
     * Creates holder with cyclic dependencies.
     * 
     * @return holder
     */"
127,PluginOperationResultImpl_successWithRestart,"/**
     * Creates holder with {@link PluginOperationStatus#SUCCESS_WITH_RESTART}
     * 
     * @return holder
     */"
128,PluginOperationResultImpl_success,"/**
     * Creates holder with {@link PluginOperationStatus#SUCCESS}
     * 
     * @return holder
     */"
129,PluginOperationResultImpl_systemPluginDisabling,"/**
     * Creates holder with {@link PluginOperationStatus#SYSTEM_PLUGIN_DISABLING}
     * 
     * @return holder
     */"
130,PluginOperationResultImpl_systemPluginUninstalling,"/**
     * Creates holder with {@link PluginOperationStatus#SYSTEM_PLUGIN_UNINSTALLING}
     * 
     * @return holder
     */"
131,PluginOperationResultImpl_systemPluginUpdating,"/**
     * Creates holder with {@link PluginOperationStatus#SYSTEM_PLUGIN_UPDATING}
     * 
     * @return holder
     */"
132,PluginOperationResultImpl_corruptedPlugin,"/**
     * Creates holder with {@link PluginOperationStatus#CORRUPTED_PLUGIN}
     * 
     * @return holder
     */"
133,PluginOperationResultImpl_cannotUploadPlugin,"/**
     * Creates holder with {@link PluginOperationStatus#CANNOT_UPLOAD_PLUGIN}
     * 
     * @return holder
     */"
134,PluginOperationResultImpl_cannotDowngradePlugin,"/**
     * Creates holder with {@link PluginOperationStatus#CANNOT_DOWNGRADE_PLUGIN}
     * 
     * @return holder
     */"
135,PluginOperationResultImpl_dependenciesCyclesExists,"/**
     * Creates holder with {@link PluginOperationStatus#DEPENDENCIES_CYCLES_EXISTS}
     * 
     * @return holder
     */"
136,PluginOperationResultImpl_pluginEnablingIsNotAllowed,"/**
     * Creates holder with {@link PluginOperationStatus#PLUGIN_ENABLING_IS_NOT_ALLOWED}
     * 
     * @return holder
     */"
137,PluginOperationResultImpl_dependenciesToEnable,"/**
     * Creates holder with {@link PluginOperationStatus#DEPENDENCIES_TO_ENABLE}
     * 
     * @param pluginDependencyResult
     *            dependencies information
     * @return holder
     */"
138,PluginOperationResultImpl_unsatisfiedDependencies,"/**
     * Creates holder with {@link PluginOperationStatus#UNSATISFIED_DEPENDENCIES}
     * 
     * @param pluginDependencyResult
     *            dependencies information
     * @return holder
     */"
139,PluginOperationResultImpl_successWithMissingDependencies,"/**
     * Creates holder with {@link PluginOperationStatus#SUCCESS_WITH_MISSING_DEPENDENCIES}
     * 
     * @param pluginDependencyResult
     *            dependencies information
     * @return holder
     */"
140,PluginOperationResultImpl_dependenciesToDisable,"/**
     * Creates holder with {@link PluginOperationStatus#DEPENDENCIES_TO_DISABLE}
     * 
     * @param pluginDependencyResult
     *            dependencies information
     * @return holder
     */"
141,PluginOperationResultImpl_dependenciesToUninstall,"/**
     * Creates holder with {@link PluginOperationStatus#DEPENDENCIES_TO_UNINSTALL}
     * 
     * @param pluginDependencyResult
     *            dependencies information
     * @return holder
     */"
142,PluginOperationResultImpl_unsatisfiedDependenciesAfterUpdate,"/**
     * Creates holder with {@link PluginOperationStatus#UNSATISFIED_DEPENDENCIES_AFTER_UPDATE}
     * 
     * @param pluginDependencyResult
     *            dependencies information
     * @return holder
     */"
143,PluginOperationResultImpl_cannotInstallPlugin,"/**
     * Creates holder with {@link PluginOperationStatus#CANNOT_INSTALL_PLUGIN_FILE}
     * 
     * @return holder
     */"
144,PluginOperationResultImpl_pluginEnablingEncounteredErrors,"/**
     * Creates holder with {@link PluginOperationStatus#PLUGIN_ENABLING_ENCOUNTERED_ERRORS}
     *
     * @return holder
     */"
145,PluginOperationResultImpl_pluginNotExist,"/**
     * Creates holder with {@link PluginOperationStatus#PLUGIN_NOT_EXIST}
     * 
     * @return holder
     */"
146,DefaultPluginStateResolver_isEnabledOrEnabling,"/**
     * @deprecated internal use only!
     * */"
147,FontUtils_prepare,"/**
     * Prepare fonts.
     * 
     * @throws DocumentException
     * @throws IOException
     */"
148,Pair_of,"/**
     * creates new Pair instance
     * 
     * @param key
     * @param value
     * @return new Pair containing key and value same as arguments
     */"
149,ColorUtils_prepare,"/**
     * Prepare colors.
     */"
150,SortUtil_sortMapUsingComparator,"/**
     * Sort given map by keys, using specified comparator
     * 
     * @param <T>
     *            key type
     * @param <V>
     *            value type
     * @param map
     *            Map, which will be sorted
     * @param comparator
     *            Comparator for comparing keys
     * @return new instance of map, sorted by keys
     */"
151,AbstractXLSXView_renderMergedOutputModel,"/**
     * Renders the Excel view, given the specified model.
     */"
152,PdfPageNumbering_onOpenDocument,"/**
     * @see com.lowagie.text.pdf.PdfPageEvent#onOpenDocument(com.lowagie.text.pdf.PdfWriter, com.lowagie.text.Document)
     */"
153,PdfPageNumbering_onStartPage,"/**
     * @see com.lowagie.text.pdf.PdfPageEvent#onStartPage(com.lowagie.text.pdf.PdfWriter, com.lowagie.text.Document)
     */"
154,PdfPageNumbering_onEndPage,"/**
     * @see com.lowagie.text.pdf.PdfPageEvent#onEndPage(com.lowagie.text.pdf.PdfWriter, com.lowagie.text.Document)
     */"
155,PdfPageNumbering_onCloseDocument,"/**
     * @see com.lowagie.text.pdf.PdfPageEvent#onCloseDocument(com.lowagie.text.pdf.PdfWriter, com.lowagie.text.Document)
     */"
156,VerticalLayout_create,"/**
     * Create new instance VerticalLayout
     * 
     * @return new instance of VerticalLayout.
     */"
157,VerticalLayout_empty,"/**
     * Create empty VerticalLayout
     * 
     * @return empty VerticalLayout.
     */"
158,VerticalLayout_append,"/**
     * Append an element to this layout.
     * 
     * @param element
     *            element to be appended
     * @return reference to this layout.
     */"
159,VerticalLayout_merge,"/**
     * Merge this layout with given one.
     * 
     * @param verticalLayout
     *            layout to be merged
     * @return reference to this layout.
     */"
160,VerticalLayout_appendToDocument,"/**
     * Print this layout within given document.
     * 
     * @param document
     *            document to be printed into.
     * @throws DocumentException
     *             if the document isn't opened yet or is already closed.
     */"
161,IntegerUtils_convertNullToZero,"/**
     * Converts value, if null returns zero
     * 
     * @param value
     *            value
     * 
     * @return value or zero
     */"
162,IntegerUtils_convertNullToOne,"/**
     * Converts value, if null returns one
     * 
     * @param value
     *            value
     * 
     * @return value or one
     */"
163,IntegerUtils_parse,"/**
     * Parse integer value from string.
     * 
     * @param stringValue
     *            value to be parsed
     * @return parsed integer number or null if given string is empty or blank
     * @throws NumberFormatException
     *             if given string does not represent correct number.
     */"
164,CopyException_getEntity,"/**
     * @return entity in corrupted state
     */"
165,BigDecimalUtils_convertNullToZero,"/**
     * Converts value, if null returns zero
     *
     * @param value value
     *
     * @return value or zero
     */"
166,BigDecimalUtils_convertNullToOne,"/**
     * Converts value, if null returns one
     *
     * @param value value
     *
     * @return value or one
     */"
167,BigDecimalUtils_toPercent,"/**
     * Converts decimal value to percent
     *
     * @param decimalValue decimal value
     *
     * @return percent
     */"
168,BigDecimalUtils_valueEquals,"/**
     * Check if decimals represent the same numeric value, even if they have
     * different precisions or contexts.
     *
     * @param d1 first BigDecimal to compare
     * @param d2 second decimal to compare
     * @return true if decimals represent the same numeric value, even if they
     * have different precisions or contexts.
     */"
169,BigDecimalUtils_tryParse,"/**
     * Try parse string into BigDecimal.
     *
     * @param maybeStringWithDecimal String to be parsed as a BigDecimal number
     * @param locale locale to be used when parse.
     * @return either Exception that occur during parsing or parsed BigDecimal,
     * wrapped within Optional.
     */"
170,ExpressionUtils_getValue,"/**
     * Evaluate expression value using entity fields values. Returns null when generated value is null.
     * 
     * @param entity
     *            entity
     * @param locale
     *            locale
     * @return evaluated expression or null
     */"
171,FileUtils_getInstance,"/**
     * Returns the {@link FileService} instance.
     * 
     * @return file service
     */"
